Datum;Wochentag;Umsatz
30.07.2016;Samstag;2158.85
31.07.2016;Sonntag;2632
01.08.2016;Montag;2891
02.08.2016;Dienstag;3049.15
03.08.2016;Mittwoch;2032.5
04.08.2016;Donnerstag;6289.5
05.08.2016;Freitag;2861
06.08.2016;Samstag;2138
07.08.2016;Sonntag;3458.5
08.08.2016;Montag;1810
09.08.2016;Dienstag;2504.5
10.08.2016;Mittwoch;3805.5
11.08.2016;Donnerstag;3247.4
12.08.2016;Freitag;4104.1
13.08.2016;Samstag;3384.5
14.08.2016;Sonntag;3657
15.08.2016;Montag;2474.65
16.08.2016;Dienstag;2270.5
17.08.2016;Mittwoch;2246.5
18.08.2016;Donnerstag;2162.75
19.08.2016;Freitag;4458.5
20.08.2016;Samstag;1938
21.08.2016;Sonntag;3958.8
22.08.2016;Montag;1588.5
23.08.2016;Dienstag;2971
24.08.2016;Mittwoch;2844.2
25.08.2016;Donnerstag;1962.1
26.08.2016;Freitag;2041
27.08.2016;Samstag;1847
28.08.2016;Sonntag;2115.5
29.08.2016;Montag;2420
30.08.2016;Dienstag;1817
31.08.2016;Mittwoch;1751
01.09.2016;Donnerstag;1580.7
02.09.2016;Freitag;1604.4
03.09.2016;Samstag;3287.25
04.09.2016;Sonntag;3380.65
05.09.2016;Montag;4444.5
06.09.2016;Dienstag;2292.3
07.09.2016;Mittwoch;1737
08.09.2016;Donnerstag;2114.1
09.09.2016;Freitag;1821
10.09.2016;Samstag;2290.6
11.09.2016;Sonntag;2704
12.09.2016;Montag;1400.5
13.09.2016;Dienstag;1468.8
14.09.2016;Mittwoch;1691.3
15.09.2016;Donnerstag;2402.5
16.09.2016;Freitag;1652.15
17.09.2016;Samstag;2303.35
18.09.2016;Sonntag;3249.5
19.09.2016;Montag;2329.8
20.09.2016;Dienstag;1686
21.09.2016;Mittwoch;2536
22.09.2016;Donnerstag;1626.05
23.09.2016;Freitag;1542
24.09.2016;Samstag;2524
25.09.2016;Sonntag;2220.5
26.09.2016;Montag;1748.7
27.09.2016;Dienstag;1577
28.09.2016;Mittwoch;1302
29.09.2016;Donnerstag;2183.25
30.09.2016;Freitag;2237
01.10.2016;Samstag;1853
02.10.2016;Sonntag;2803.5
03.10.2016;Montag;2777.5
04.10.2016;Dienstag;3248.74
05.10.2016;Mittwoch;1811.5
06.10.2016;Donnerstag;1535.5
07.10.2016;Freitag;2190.5
08.10.2016;Samstag;2699.8
09.10.2016;Sonntag;4652.5
10.10.2016;Montag;3446
11.10.2016;Dienstag;1606.7
12.10.2016;Mittwoch;2849
13.10.2016;Donnerstag;2516
14.10.2016;Freitag;2271.5
15.10.2016;Samstag;2383.19
16.10.2016;Sonntag;3898
17.10.2016;Montag;2393.5
18.10.2016;Dienstag;1554.5
19.10.2016;Mittwoch;2226.5
20.10.2016;Donnerstag;2587
21.10.2016;Freitag;2896.4
22.10.2016;Samstag;1981.8
23.10.2016;Sonntag;5020.5
24.10.2016;Montag;3038
25.10.2016;Dienstag;1323
26.10.2016;Mittwoch;1592.5
27.10.2016;Donnerstag;1541.5
28.10.2016;Freitag;2223
29.10.2016;Samstag;2672.5
30.10.2016;Sonntag;2830
31.10.2016;Montag;2720.55
01.11.2016;Dienstag;1692
02.11.2016;Mittwoch;1097.5
03.11.2016;Donnerstag;1046.5
04.11.2016;Freitag;1600
05.11.2016;Samstag;1736
06.11.2016;Sonntag;4002
07.11.2016;Montag;2347.5
08.11.2016;Dienstag;1218
09.11.2016;Mittwoch;1608.5
10.11.2016;Donnerstag;1128.5
11.11.2016;Freitag;1397.5
12.11.2016;Samstag;1891.5
13.11.2016;Sonntag;2585
14.11.2016;Montag;2798.5
15.11.2016;Dienstag;682.5
16.11.2016;Mittwoch;1190.5
17.11.2016;Donnerstag;918
18.11.2016;Freitag;748
19.11.2016;Samstag;1829
20.11.2016;Sonntag;1759
21.11.2016;Montag;2265.5
22.11.2016;Dienstag;810.5
23.11.2016;Mittwoch;1784.6
